rendapc,anosestudo,idade,mfa,lnrendapc,urbana,homem,perpob
1126945,16,46,0,13.9350214,1,1,0
1181501,15,41,0,13.98229599,1,0,0
1568168,11,55,0,14.26541901,1,1,0
433982,4,76,1,12.98075867,1,0,0
192501,8,54,0,12.16785622,1,0,1
310364,11,30,0,12.64550114,1,1,0
325251,5,39,0,12.69235229,1,0,1
218612,9,44,1,12.29505348,1,1,0
121072,5,48,1,11.70414066,1,1,1
354984,13,53,0,12.77982807,1,0,0
101168,5,50,1,11.52453804,1,0,0
195834,7,43,0,12.18502235,1,0,1
350001,5,43,0,12.76569176,1,1,0
292001,8,27,1,12.58451271,1,1,0
104001,5,52,1,11.55215549,1,0,1
113168,11,33,1,11.6366291,1,0,0
207858,0,60,0,12.24461079,1,0,1
84001,11,37,0,11.33858395,1,0,0
358751,7,51,1,12.79038429,1,1,0
536001,5,22,0,13.19189167,1,1,0
139001,14,36,0,11.84223652,1,0,0
350001,7,57,0,12.76569176,1,0,0
100406,7,26,0,11.51697731,1,1,0
295001,14,37,1,12.59473419,1,1,1
167739,11,22,1,12.03016472,1,0,0
156668,2,63,0,11.9618845,1,1,0
236176,11,25,0,12.37233257,1,1,0
333826,11,50,0,12.71837521,1,0,0
1278434,14,22,0,14.06114674,1,1,0
313593,0,72,0,12.65585136,1,1,1
311168,11,32,1,12.64808846,1,0,0
192612,8,35,1,12.16843319,1,0,0
147501,5,55,1,11.90159035,1,0,0
323334,1,43,1,12.68644142,1,0,0
155001,14,58,0,11.95118713,1,0,0
322223,17,23,0,12.68299866,1,0,0
1950001,7,67,0,14.48334026,1,0,0
183334,2,56,0,12.11906528,1,0,0
600001,14,27,0,13.30468655,1,0,0
2000001,11,67,0,14.50865841,1,0,0
1352568,16,68,0,14.11751556,1,1,0
622430,5,41,0,13.3413868,1,1,1
218494,4,67,0,12.2945137,0,0,0
1390279,5,76,0,14.14501476,0,0,0
336668,7,27,1,12.72685242,0,1,1
1076390,11,48,0,13.88912296,1,1,0
259182,17,33,0,12.46528625,0,1,0
369557,5,64,0,12.82006073,0,0,1
165918,11,25,1,12.01924896,0,0,1
1291668,14,53,0,14.07144451,0,1,1
300001,11,65,0,12.61154079,0,1,1
5241668,11,54,0,15.4721508,1,1,0
3100001,16,49,0,14.94691277,1,0,0
265168,0,68,1,12.48811913,1,1,0
252501,11,33,1,12.43917084,1,1,0
708118,16,34,0,13.47036648,0,0,0
354001,15,34,1,12.77705479,1,1,1
205001,11,32,1,12.23077011,1,0,1
328334,11,34,1,12.70178699,1,1,0
