rural,mulher,anos_est,rndpcap,meanrndpcap,sufrnd
0,0,6,295.0975,689.9491111,0
0,0,2,295.592,291.0228947,0
0,0,4,295.682,291.0228947,0
0,1,2,295.7566667,388.5253623,0
0,1,2,295.7875,398.4177083,0
0,0,1,296.186,1871.069286,0
1,0,3,296.8766667,526.3340741,0
0,1,8,297.318,554.6609302,0
0,0,11,297.6475,722.2689362,0
1,0,0,297.928,1055.4946,0
0,0,4,298.2325,618.5127027,0
1,0,6,298.262,575.394,0
0,1,8,298.415,402.0349153,0
0,1,0,298.51,2239.903704,0
1,0,8,298.538,876.9027907,0
0,1,4,298.575,1183.43625,0
0,0,3,299.04,1413.027436,0
1,1,1,299.2566667,444.4342105,0
0,0,8,299.8766667,267.5275926,0
0,1,9,300.15,840.067561,0
1,0,4,300.33,575.394,0
0,0,5,300.42,688.6915152,0
0,0,4,300.45,688.6915152,0
1,0,8,300.4925,884.7490244,0
1,0,8,300.905,798.4366667,0
0,1,4,301.074,423.8047727,0
0,1,1,301.205,600.8578378,0
0,0,4,301.4166667,665.9080488,0
1,0,11,301.608,526.3340741,1
1,0,4,302.9916667,574.977963,0
0,0,7,303.4216667,527.6662903,0
0,1,8,303.51,478.6689474,1
0,0,11,303.7875,1207.043256,0
0,0,3,304.6075,867.7046875,0
0,1,10,304.75,606.5910714,0
0,0,2,305.044,752.9721739,0
1,1,6,305.06,838.3386765,0
1,0,0,305.088,659.6204839,0
0,1,4,305.2075,1182.171081,0
1,0,4,305.39,571.1861194,0
1,0,0,305.55,1727.349,0
0,0,4,306.378,752.2555882,0
0,0,3,306.524,740.5191304,0
0,1,10,306.525,661.8156667,0
0,0,4,306.755,840.453,0
1,0,8,306.77,807.2419149,0
0,1,4,306.78,752.9721739,1
0,0,3,307.29,534.7809524,0
0,0,4,307.6583333,291.0228947,0
1,1,2,307.79,423.0136585,0
0,1,4,308.04,793.219697,0
1,0,5,308.226,587.443871,0
0,0,7,308.478,835.9210811,0
1,0,0,308.95,554.9977358,0
0,0,5,309.062,527.6662903,0
1,0,4,309.48,740.7088235,0
0,1,0,309.956,1023.927727,0
1,0,8,310.0325,740.7088235,0
0,1,9,310.2875,686.4529268,0
1,0,3,311.3566667,614.4397059,1
1,1,7,312.8,444.4342105,0
1,0,8,312.974,794.3415789,0
1,0,3,313.288,834.9436364,0
1,1,0,313.69,685.4940323,0
0,0,4,313.71,1196.6,0
0,0,9,313.7233333,670.763,0
0,0,3,314.43,686.2056098,0
0,0,3,314.6666667,613.4914706,0
0,0,6,316.01,1410.529773,1
0,1,4,316.095,1315.11,0
0,1,7,316.18,736.2497368,0
1,0,1,316.574,571.1861194,0
1,0,0,316.6,515.4110909,0
0,0,11,316.62,494.5080556,0
1,0,2,316.9775,876.9027907,0
0,0,4,317.6675,722.8679167,0
1,0,2,318.565,587.443871,0
0,0,9,318.6666667,581.6348148,0
1,1,1,318.9066667,444.4342105,0
1,0,6,319.316,571.1861194,0
0,0,4,320.01,554.6609302,0
0,0,11,320.165,613.4914706,0
1,0,0,321.0766667,419.5996296,0
1,0,2,321.32,515.4110909,0
1,0,8,321.5933333,391.2131579,0
0,1,7,321.89,690.4014286,0
0,0,5,322,608.8389474,0
0,0,2,322,611.3997619,1
0,0,11,322.395,583.2331915,0
1,0,4,323.3375,575.394,0
1,0,0,323.8333333,1011.248261,0
1,0,1,324.04,943.2462,0
0,1,11,324.2275,1286.166364,0
0,0,4,324.6566667,665.9080488,0
1,0,12,325.82,794.3415789,0
0,0,11,325.89,912.8591176,0
0,0,11,325.96,1069.7025,0
0,1,5,325.965,607.260625,0
1,1,0,326.084,685.4940323,0
0,0,3,326.205,618.5127027,0
1,0,3,326.4,554.9977358,0
1,0,8,326.506,1055.4946,0
1,0,0,327.17,885.1378723,1
0,1,6,327.9033333,487.0973684,0
0,0,4,328.7033333,620.0084211,0
0,0,3,328.8775,534.7809524,0
1,0,8,329.3933333,527.8295918,0
0,1,0,329.5125,688.6915152,0
1,0,1,329.7925,652.6279592,0
0,0,11,330.2825,409.7105714,0
1,0,3,330.585,411.1992308,0
0,0,0,330.662,556.1836364,0
1,0,12,331.25,718.9960345,0
0,0,8,331.73,766.148,0
1,0,4,331.89,423.0136585,0
1,0,10,332.47,526.3340741,0
1,0,0,333.5,391.2131579,0
1,0,5,333.535,672.7350877,0
1,0,2,333.5466667,652.6279592,0
0,0,0,334.355,928.8801923,0
1,0,1,334.9375,835.1365957,0
1,0,9,335,571.1861194,1
0,0,10,335.35,944.937907,0
1,0,8,335.37,943.2462,1
0,1,0,335.54,639.7505263,0
0,0,2,336.53,686.2056098,0
0,0,0,336.8475,752.2555882,0
1,1,1,336.8633333,563.237561,0
1,0,2,338.43,943.2462,0
1,0,0,338.785,652.6279592,0
1,0,2,339.122,489.2359615,0
0,1,7,339.36,770.84,1
1,1,4,339.74,423.0136585,0
1,0,5,340,798.4366667,0
1,0,0,340.2125,1063.802533,0
0,1,11,340.3433333,690.4014286,0
0,0,7,340.8266667,554.6609302,0
0,0,0,341.14,670.763,0
0,0,3,341.7475,267.5275926,0
0,0,0,341.9333333,883.9934286,0
0,1,4,342.9316667,554.6609302,1
0,0,6,344.5325,689.9491111,0
1,0,0,345.18,391.2131579,0
0,0,4,345.7266667,423.8047727,0
1,0,11,345.766,838.8316071,0
0,1,4,345.9433333,1023.927727,0
0,0,4,346.48,317.7251351,1
0,0,3,347.0833333,1023.611429,0
1,0,8,347.125,587.443871,0
1,0,11,347.35,614.4397059,0
0,1,8,347.916,607.260625,0
1,0,8,348.2975,699.1070423,0
1,1,4,348.795,672.7350877,0
0,1,1,348.9025,752.2555882,0
1,0,0,349.0025,718.9960345,0
0,1,3,349.22,561.9761765,0
0,0,11,349.3,1013.342667,0
0,0,4,349.6133333,736.2497368,1
1,0,0,350.09,1063.802533,0
0,1,8,350.2766667,1948.479778,0
1,0,8,351.2933333,482.5134247,0
0,1,0,351.305,594.8609091,0
1,0,7,351.51,798.4366667,0
1,0,7,351.5866667,662.9639535,0
0,0,6,351.92,645.2675676,0
1,0,11,352.3466667,554.9977358,0
0,0,4,352.6866667,901.4827907,0
1,0,2,352.808,489.2359615,0
1,0,0,352.8925,659.6204839,0
0,0,11,353.262,1332.0025,0
1,0,2,353.658,526.3340741,0
0,1,4,353.832,626.9217949,0
0,0,12,354.02,495.635641,1
0,0,1,354.1875,629.9636364,0
0,1,3,355.268,538.7673684,0
0,1,11,355.3375,659.0762264,0
0,0,7,355.7066667,606.5910714,0
0,0,0,355.975,885.2687234,0
1,0,0,356.2516667,740.7088235,0
0,0,2,356.418,1698.535517,0
0,1,2,356.62,833.48,0
1,0,11,356.625,627.1180303,0
0,1,11,356.6975,645.2675676,0
1,0,3,357.0875,794.3415789,0
1,0,4,357.41,391.2131579,0
1,0,4,357.8175,943.2462,1
1,0,3,357.8666667,943.2462,0
0,1,7,358.29,686.4529268,0
0,1,0,358.47,923.21775,0
1,0,4,358.61,571.1861194,1
0,0,4,359.7833333,552.4429787,0
0,1,5,359.94,627.1007317,0
0,0,11,360.0266667,707.3438889,0
0,0,1,360.2875,764.1737838,1
1,0,4,360.33,525.4981579,0
1,1,7,360.464,482.5134247,0
1,0,4,360.72,835.1365957,1
0,0,11,361.002,627.1007317,0
1,0,3,361.064,467.1654386,0
1,0,4,361.13,838.8316071,0
0,0,4,361.72,267.5275926,0
0,0,4,362.686,519.7508511,0
0,0,6,362.9925,365.8461364,0
0,0,3,363.835,317.7251351,0
1,0,12,364.1475,579.2511111,0
1,0,4,364.365,804.9061429,1
1,0,3,364.6625,419.5996296,0
0,0,4,364.91,640.6816667,0
0,0,12,364.9766667,968.53875,0
0,1,11,365.118,812.4543333,0
1,0,0,365.21,419.5996296,0
0,0,10,365.4666667,581.6348148,0
0,1,8,365.76,1032.037576,0
0,0,4,366.72,452.7571111,0
0,0,4,366.7642857,718.0520833,0
1,0,3,367.27,618.6634,0
1,1,0,367.38,672.7350877,0
1,0,12,367.6828571,685.4940323,0
1,0,4,369.0333333,273.712,0
0,0,10,369.3533333,689.9491111,0
0,0,3,370.3,613.4914706,0
0,0,3,370.455,669.0507692,0
0,0,4,370.8925,574.0725806,0
1,1,4,370.9933333,570.3334375,0
1,0,10,371.066,575.394,0
1,0,11,372.0566667,699.1070423,0
0,1,11,373.0677778,603.7085714,0
1,1,9,373.092,659.6204839,0
0,0,8,373.305,561.9761765,0
0,0,4,373.36,1182.171081,1
0,0,3,373.682,1332.0025,0
0,1,1,373.855,639.7505263,0
0,0,2,374.046,607.260625,0
1,0,11,374.1525,662.5847368,0
1,0,4,374.1666667,876.9027907,0
0,0,4,374.44,901.4827907,0
0,0,5,374.612,603.4707143,0
0,0,4,374.895,548.2905556,0
0,0,4,375.0175,1372.231786,0
0,1,8,375.044,603.4707143,0
1,0,9,375.0566667,444.4342105,1
0,0,7,375.865,904.1488571,0
0,0,4,376.61,763.4109756,0
1,1,12,376.6325,884.7490244,0
0,0,4,376.9175,968.53875,0
0,0,5,377.3833333,596.2365854,0
0,1,1,379.315,567.1062069,0
1,1,7,379.46,740.7088235,0
1,0,4,379.51,618.6634,1
0,0,0,379.765,365.8461364,0
1,0,11,379.974,1055.4946,0
0,1,11,380.1666667,888.5615385,0
0,1,11,381.22,579.8978125,0
0,0,5,381.494,1613.550571,1
0,0,8,381.875,1196.6695,0
1,0,1,382.002,411.1992308,0
1,0,14,382.2325,1176.6035,0
0,0,2,382.355,626.9217949,0
1,0,8,382.8575,495.0122951,0
0,0,12,382.91,317.7251351,0
1,0,6,383.2425,807.2419149,0
0,0,7,383.3166667,365.8461364,0
0,0,11,383.3533333,510.5392857,0
1,0,4,383.4466667,526.3340741,1
0,1,11,383.4625,1016.115667,0
0,1,3,383.47,527.6662903,0
0,1,8,384.025,758.31625,0
1,0,2,384.142,740.7088235,0
0,0,4,384.6025,467.1111111,1
0,1,6,384.71,718.0520833,0
0,0,0,384.78,398.4177083,0
0,0,4,385.17,2910.267838,0
1,0,5,385.2933333,627.1180303,0
0,0,2,385.75,467.1111111,0
1,0,4,385.785,527.8295918,0
0,0,11,386.418,1196.6,0
0,0,0,386.445,497.7760465,0
1,0,6,386.5075,627.1180303,0
0,0,3,387.97,677.26,0
0,1,4,388.325,912.8591176,0
